Controller,RefAmplitude_deg,RiseTime,SettlingTime,Overshoot
PID,10,0.0366,2.38515,8.77192982456141
PID,30,0.031425,0.11665,24.5508982035928
PID,50,0.0307083333333333,0.114575,27.797833935018
PID,90,0.0379136363636364,0.16495,24.3512974051896
PID,180,0.059715,0.14995,15.8366533864542
PID,360,0.10367486631016,0.2008,8.77976190476191
PID + AW,10,0.0366,2.38515,8.77192982456141
PID + AW,30,0.031425,0.11665,24.5508982035928
PID + AW,50,0.0307083333333333,0.114575,27.797833935018
PID + AW,90,0.0377933333333333,0.16705,24.4488977955912
PID + AW,180,0.0592303571428571,0.1476125,15.438950554995
PID + AW,360,0.10132192513369,0.18999,7.54716981132078
